"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000098087",165.8766150431,1.88809264423604,0.465796105257996,4.05347452012347,5.04624984147226e-05,0.000815172729778452
"ENSMUSG00000096449",61.6752252614644,-1.10631842324202,0.342157000061484,-3.23336486771633,0.00122341199820927,0.00896238952434085
"ENSMUSG00000021613",14.4992657505442,2.74678222606958,0.546873260306065,5.02270347709505,5.09491735209249e-07,2.0300437425926e-05
"ENSMUSG00000023132",12.3823450860355,1.79254303615347,0.650665091476765,2.75493961430306,0.00587029686823018,0.0281498883937093
"ENSMUSG00000021764",3481.39680189595,1.01037531575815,0.354431440981365,2.85069324820783,0.00436240325157148,0.0227049123720901
"ENSMUSG00000021765",74.9379324931249,1.69086021381306,0.259789525546343,6.50857731949411,7.5865858017544e-11,1.04330937072788e-08
"ENSMUSG00000021614",27.3329539348859,1.58746312880078,0.320679323839523,4.95031332171321,7.40940983045828e-07,2.76704546823443e-05
"ENSMUSG00000021496",671.93357562932,1.33106900195414,0.365441489467716,3.642358736806,0.000270151234296108,0.00298804979966531
"ENSMUSG00000114493",16.4391630079854,-1.41106004768402,0.449073803183957,-3.14215622839616,0.00167708524071261,0.0112995684594032
"ENSMUSG00000114255",40.4915744251708,-1.01477506981881,0.231767201139668,-4.37842397383609,1.19540627071786e-05,0.000267953691313402
"ENSMUSG00000074634",757.92080893731,-1.39716808144617,0.20566363074176,-6.79346210317815,1.09474005237991e-11,1.74274165507007e-09
"ENSMUSG00000074715",267.001955213604,-2.53668878632679,0.605559847912108,-4.18899766071506,2.80189287910847e-05,0.000519826890614433
"ENSMUSG00000052374",14.2289985658894,2.1031905674338,0.480490853779986,4.37717086784931,1.20229719642115e-05,0.000269200194167705
"ENSMUSG00000074768",52.3511875771118,1.63371168897154,0.377595848980086,4.32661453610868,1.51418600437818e-05,0.000322957206687237
"ENSMUSG00000094796",15.9155398384387,1.53969153264433,0.49760207359542,3.09422250096206,0.00197329436748079,0.0126999845126165
"ENSMUSG00000113598",29.4542059653089,1.61564841237017,0.487803554831299,3.31208822971559,0.000926023361155541,0.00734468607098327
"ENSMUSG00000114014",3.22842491398532,-2.09619274176052,0.835053266177987,-2.51025033571179,0.0120645600362915,0.0469793689293144
"ENSMUSG00000113743",318.411272676889,1.09771319395617,0.273919437786159,4.00743080822591,6.13828361509038e-05,0.000948739372456002
"ENSMUSG00000021670",635.519712731661,-1.85310237472549,0.262944805765769,-7.04749564962403,1.8216652008083e-12,3.12477333301363e-10
"ENSMUSG00000080574",2.7042722786817,-2.60954464527841,0.954122817247978,-2.73501964118754,0.00623765539788125,0.0294029769232684
"ENSMUSG00000021456",321.957648141625,1.00239807343234,0.209563849703173,4.78325853839842,1.72476050559471e-06,5.58574038299882e-05
"ENSMUSG00000114604",11.2708850864452,1.70564341801563,0.522385853264233,3.2651026197543,0.0010942442502243,0.00825823932467938
"ENSMUSG00000050974",8.27405448103642,-1.98875266319495,0.63383615531077,-3.13764471548624,0.00170311177342288,0.0114072420270856
"ENSMUSG00000020601",825.816660413161,-1.28136581038584,0.226938146415986,-5.64632183095851,1.63916870216738e-08,1.06001321727061e-06
"ENSMUSG00000113975",21.3945607572518,1.65055305940658,0.464642453571808,3.55230790195433,0.00038186773172577,0.00389585925295429
"ENSMUSG00000075707",6.73131594248317,-2.32150071780462,0.67871414283364,-3.42043958022198,0.00062520021832469,0.00552364802230906
