"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000107215",3.83848196037557,-5.25606359135006,1.38111881863794,-3.80565634210502,0.000141428643175196,0.00212995324889073
"ENSMUSG00000029638",7.49366053199251,-1.79884850405136,0.685039518906187,-2.62590471703532,0.00864190047895922,0.0467827514294232
"ENSMUSG00000108518",24.2993314693734,-1.25239659105557,0.438260003167311,-2.85765660111461,0.00426781983011518,0.028070661729787
"ENSMUSG00000039257",7.5274478464644,1.62135142776717,0.610080596279641,2.65760202447743,0.00786987658702516,0.0437021048005422
"ENSMUSG00000091474",54.6114772285624,-1.80190077259155,0.308757595736808,-5.83597228852478,5.347778433271e-09,7.59822266889474e-07
"ENSMUSG00000056144",48.9206837957387,-1.23771253307287,0.285877980548568,-4.32951334935916,1.49439212032199e-05,0.000385324724935509
"ENSMUSG00000059479",112.975759440266,1.056315498262,0.202556272460824,5.21492366259011,1.83892949615645e-07,1.23250900436101e-05
"ENSMUSG00000044609",574.170404730185,1.08202083132104,0.402082633584616,2.69104094766465,0.00712294515081936,0.0406701079824357
"ENSMUSG00000012640",177.766388828751,-1.32467394738698,0.262958023554132,-5.03758710033916,4.71437050736379e-07,2.63444171468878e-05
"ENSMUSG00000038623",40.4463012763561,-1.73498296564942,0.481507604921739,-3.60323066118844,0.000314286394116567,0.00393154784908878
"ENSMUSG00000101800",27.669404375846,-1.07482483282048,0.397811011562433,-2.70184786640023,0.00689553055299315,0.0397415814131932
"ENSMUSG00000108878",2.29313517539149,-4.29673431819209,1.52813705358814,-2.81174670040435,0.0049273288991289,0.0310946087041853
"ENSMUSG00000097016",6.04672666770384,-2.17635468749247,0.777711751488351,-2.798407871975,0.00513552173937127,0.032132332465723
"ENSMUSG00000059042",25.4967197770687,1.07293246591543,0.388167809039766,2.76409439662089,0.00570810234513281,0.034581771795221
"ENSMUSG00000098404",326.527714470157,-1.13493589919084,0.339211488753356,-3.34580619118141,0.000820437195914051,0.00818407005248102
"ENSMUSG00000063177",29.6443246273604,1.8657835073839,0.427491902329108,4.36448853701913,1.27420530579489e-05,0.000338911821216745
"ENSMUSG00000066516",39.7071229200844,1.75427370093848,0.324871271558256,5.39990406823001,6.66765422045348e-08,5.53114709328684e-06
"ENSMUSG00000063713",62.6312356405064,1.77189563282899,0.320371447900374,5.53075389346181,3.18857419655956e-08,3.07333001488391e-06
"ENSMUSG00000066515",54.2441822888681,1.15762108841173,0.300055296541967,3.8580258430793,0.000114306564133813,0.00183294988257568
"ENSMUSG00000066513",33.936136474403,2.32600698598719,0.475170118012246,4.89510366459374,9.82539213131727e-07,4.75779335239217e-05
"ENSMUSG00000066512",176.01434118501,1.49600309574731,0.22932266936516,6.52357265807492,6.86521316552467e-11,2.04351146593213e-08
"ENSMUSG00000063903",45660.5658968245,1.31165940053478,0.208893203084638,6.27909085200503,3.40558553647633e-10,7.33324008976781e-08
"ENSMUSG00000061479",981.672869236567,1.10296308120279,0.205645784648559,5.3634120586897,8.16644195785399e-08,6.61187806675691e-06
"ENSMUSG00000030731",218.62240100384,1.14028857883898,0.248788283061389,4.58336930022387,4.57542915266458e-06,0.000155127741170995
"ENSMUSG00000089832",460.346833354298,1.13953586214596,0.17763773005559,6.41494271396824,1.40875825115386e-10,3.56433447020065e-08
"ENSMUSG00000015134",77.7147273944304,-1.65356953639165,0.547889493080768,-3.0180712666959,0.0025438907279867,0.0192058531239011
"ENSMUSG00000038670",5.72410041723781,1.85573120332359,0.683096571845478,2.7166454639204,0.0065947208463559,0.0384624942998609
"ENSMUSG00000030890",108.582320693284,-1.73837006692946,0.394048710462213,-4.41156136481293,1.02627858847449e-05,0.000288112412057033
"ENSMUSG00000109244",6.77446761854829,-2.06308652015956,0.75174769030587,-2.74438690901748,0.00606240388451346,0.0360606143899699
"ENSMUSG00000078606",161.444777974136,-1.24061955073234,0.300240026274823,-4.13209246656788,3.59475745513472e-05,0.000751668240179565
"ENSMUSG00000095649",5.44065191126653,-4.12381649141621,1.29859987946872,-3.1755866888755,0.00149533835320094,0.0129402067580762
"ENSMUSG00000045868",147.811020415742,-1.0279766806875,0.306601629160425,-3.35280893158473,0.000799959100627408,0.00805385142064102
"ENSMUSG00000073902",6.45186236330458,-2.42651135839132,0.84318583856137,-2.8777895066779,0.00400472258011156,0.0267965585930705
