"","corPvalueStudent.gene.signf.corr..nSamples.","symbol"
"ENSMUSG00000049988",0.0161243785536954,"Lrrc25"
"ENSMUSG00000087523",0.0161303360350515,NA
"ENSMUSG00000028167",0.0161360773569864,"Bdh2"
"ENSMUSG00000035824",0.016141943788204,"Tk2"
"ENSMUSG00000083757",0.0161554860255867,NA
"ENSMUSG00000118238",0.0161697225981001,"Gm34432"
"ENSMUSG00000052776",0.0161717193554909,"Oas1a"
"ENSMUSG00000030905",0.0161760572606026,"Crym"
"ENSMUSG00000024335",0.0161822072994208,"Brd2"
"ENSMUSG00000023232",0.0161925380682933,"Serinc2"
"ENSMUSG00000033054",0.0162062099701115,"Npat"
"ENSMUSG00000046330",0.0162162921294922,"Rpl37a"
"ENSMUSG00000079575",0.016230710649421,"Rbpj-ps3"
"ENSMUSG00000036291",0.0162375837824938,"Ap5m1"
"ENSMUSG00000052446",0.0162396052036939,"Zfp961"
"ENSMUSG00000015659",0.0162472670782705,"Serac1"
"ENSMUSG00000023092",0.0162518832943753,"Fhl1"
"ENSMUSG00000027478",0.0162579990139226,"Dnmt3b"
"ENSMUSG00000028699",0.0162644106731593,"Tspan1"
"ENSMUSG00000058297",0.0162754645125924,"Spock2"
"ENSMUSG00000043154",0.0162820088579891,"Ppp2r3a"
"ENSMUSG00000085586",0.0162998888867132,NA
"ENSMUSG00000084935",0.0163008581084179,NA
"ENSMUSG00000021775",0.016302631722487,"Nr1d2"
"ENSMUSG00000028862",0.0163123211627567,"Map3k6"
"ENSMUSG00000021250",0.0163186548955375,"Fos"
"ENSMUSG00000036315",0.0163264379051659,"Polr1h"
"ENSMUSG00000050957",0.0163463557940552,"Insl6"
"ENSMUSG00000085687",0.0163708950530225,NA
"ENSMUSG00000118665",0.0163719394639276,"Lin54"
"ENSMUSG00000013701",0.0163802407784702,"Timm23"
"ENSMUSG00000000296",0.0163985232387692,"Tpd52l1"
"ENSMUSG00000026281",0.0164175566376552,"Dtymk"
"ENSMUSG00000028398",0.0164308173390215,"Dmac1"
"ENSMUSG00000035401",0.0164326068440854,"Emsy"
"ENSMUSG00000026649",0.0164338910941524,"Cfap126"
"ENSMUSG00000026697",0.0164363308229605,"Myoc"
"ENSMUSG00000061099",0.0164445069391786,"Gapdhs"
"ENSMUSG00000004936",0.0164497553295739,"Map2k1"
"ENSMUSG00000042190",0.0164513498430689,"Cmklr1"
"ENSMUSG00000060147",0.0164778035574822,"Serpinb6a"
"ENSMUSG00000037151",0.0164975944090647,"Lrrc20"
"ENSMUSG00000048200",0.0164984057207798,"Cracr2b"
"ENSMUSG00000043681",0.0165088407904652,"Fam25a"
"ENSMUSG00000083481",0.0165287092809739,"Rps8-ps2"
"ENSMUSG00000024953",0.0165397195514501,"Prdx5"
"ENSMUSG00000032854",0.0165400262159783,"Ugt8a"
"ENSMUSG00000036792",0.0165438766121806,"Mbd5"
"ENSMUSG00000057722",0.0165501030373037,"Lepr"
"ENSMUSG00000078648",0.0165506709912364,"Gm17546"
"ENSMUSG00000045215",0.0166236490257317,"Asxl3"
"ENSMUSG00000061589",0.01664476601343,"Dot1l"
"ENSMUSG00000050965",0.0166520769560093,"Prkca"
"ENSMUSG00000058239",0.0166528180408744,"Usf2"
"ENSMUSG00000112023",0.0166545610718175,"Lilrb4b"
"ENSMUSG00000059981",0.0166559339203139,"Taok2"
"ENSMUSG00000058057",0.0166567765123673,"Mettl7a3"
"ENSMUSG00000030879",0.0166629115202348,"Mrpl17"
"ENSMUSG00000030172",0.0166767761712512,"Erc1"
"ENSMUSG00000016946",0.0166936483680167,"Kctd5"
"ENSMUSG00000066880",0.0166966564135826,"Zfp617"
"ENSMUSG00000035278",0.0167056861353103,"Plekhj1"
"ENSMUSG00000029270",0.0167177566587795,"Dipk1a"
"ENSMUSG00000085611",0.0167326224325963,NA
"ENSMUSG00000031652",0.0167330501441218,"N4bp1"
"ENSMUSG00000108084",0.0167430221150427,"Gm7932"
"ENSMUSG00000097640",0.0167624361781685,NA
"ENSMUSG00000097679",0.0167708362581133,NA
"ENSMUSG00000034042",0.0167774865122444,"Gpbp1l1"
"ENSMUSG00000041765",0.0168011615788254,"Ubac2"
"ENSMUSG00000036067",0.0168041448577677,"Slc2a6"
"ENSMUSG00000020692",0.0168097282626749,"Nle1"
"ENSMUSG00000022114",0.0168171585009832,"Spry2"
"ENSMUSG00000059456",0.0168230793053492,"Ptk2b"
"ENSMUSG00000015143",0.0168259381593184,"Actn1"
"ENSMUSG00000061544",0.0168765855265377,"Zfp229"
"ENSMUSG00000029176",0.0168773650244705,"Anapc4"
"ENSMUSG00000113902",0.0168901082100267,"Ndufb1"
"ENSMUSG00000042292",0.0168960780839504,"Mrtfa"
"ENSMUSG00000117518",0.0169086274848389,NA
"ENSMUSG00000029090",0.0169122604852903,"Adgra3"
"ENSMUSG00000044349",0.0169484766991682,"Snhg11"
"ENSMUSG00000031570",0.0169602441706092,"Plpp5"
"ENSMUSG00000022339",0.0170066261643337,"Ebag9"
"ENSMUSG00000054426",0.0170661721615425,"A930005H10Rik"
"ENSMUSG00000029095",0.0170688194801556,"Ablim2"
"ENSMUSG00000026667",0.0170696022646519,"Uhmk1"
"ENSMUSG00000021245",0.0170781409294858,"Mlh3"
"ENSMUSG00000039001",0.0170978152914441,"Rps21"
"ENSMUSG00000008690",0.0171017853241677,"Ncaph2"
"ENSMUSG00000022412",0.0171082348487878,"Mief1"
"ENSMUSG00000006740",0.0171139554312685,"Kif5b"
"ENSMUSG00000030814",0.0171164473506237,"Bcl7c"
"ENSMUSG00000028088",0.0171248468260672,"Fmo5"
"ENSMUSG00000026411",0.0171362412933268,"Tmem9"
"ENSMUSG00000074825",0.0171811788975812,"Itpripl1"
"ENSMUSG00000031937",0.0172011694670498,"Vstm5"
"ENSMUSG00000032788",0.0172138978174916,"Pdxk"
"ENSMUSG00000028541",0.0172287092623896,"B4galt2"
"ENSMUSG00000061755",0.0172434704873695,"Bod1l"
"ENSMUSG00000033763",0.0172447152841983,"Mtss2"
"ENSMUSG00000022283",0.0172461951715027,"Pabpc1"
"ENSMUSG00000074867",0.0172616285817034,"Zfp808"
"ENSMUSG00000033965",0.0172631230366456,"Slc16a2"
"ENSMUSG00000032182",0.0172633950239637,"Yipf2"
"ENSMUSG00000026201",0.017286772948596,"Stk16"
"ENSMUSG00000049184",0.0173217903769559,"Purg"
"ENSMUSG00000022292",0.0173280939173658,"Rrm2b"
"ENSMUSG00000020806",0.0173369538530009,"Rhbdf2"
"ENSMUSG00000029685",0.0173754216539217,"Asb15"
"ENSMUSG00000056459",0.0173814696317158,"Zbtb25"
"ENSMUSG00000036534",0.0173942455406677,"Slc38a7"
"ENSMUSG00000038102",0.0173990415652982,"Trappc11"
"ENSMUSG00000046805",0.0174019440562218,"Mpeg1"
"ENSMUSG00000055926",0.0174126266424337,"Gm14137"
"ENSMUSG00000100486",0.0174401758045632,"Gm4131"
"ENSMUSG00000072294",0.0174490817706727,"Klf12"
"ENSMUSG00000087165",0.017458113367057,"2010001A14Rik"
"ENSMUSG00000033411",0.0174775936139779,"Ctdspl2"
"ENSMUSG00000046572",0.0174821676592426,"Zfp518b"
"ENSMUSG00000049477",0.0174849798506786,NA
"ENSMUSG00000029314",0.0174974140767312,"Gpat3"
"ENSMUSG00000022750",0.0175008638469956,"Klhl22"
"ENSMUSG00000032741",0.0175309744963227,"Tpcn1"
"ENSMUSG00000067297",0.0175342457887258,"Ifit1bl2"
"ENSMUSG00000020131",0.017549361890276,"Pcsk4"
"ENSMUSG00000026238",0.0175566420811141,"Ptma"
"ENSMUSG00000026447",0.0175603739806583,"Pik3c2b"
"ENSMUSG00000071528",0.0175684708129956,"Atp5md"
"ENSMUSG00000058492",0.017598551729161,"Scp2-ps2"
"ENSMUSG00000032040",0.0176044693100161,"Dcps"
"ENSMUSG00000015605",0.017618745676848,"Srf"
"ENSMUSG00000036814",0.0176243354667122,"Slc6a20a"
"ENSMUSG00000107121",0.017629200480941,"1110006O24Rik"
"ENSMUSG00000070426",0.0176329698849403,"Rnf121"
"ENSMUSG00000020993",0.0176591973932734,"Trappc6b"
"ENSMUSG00000047084",0.017670009810388,"Ngrn"
"ENSMUSG00000047986",0.0176736100059933,"Palm3"
"ENSMUSG00000032479",0.017676841984502,"Map4"
"ENSMUSG00000044609",0.0176794358282666,"Gm9294"
"ENSMUSG00000010362",0.0176865560350939,"Rdm1"
"ENSMUSG00000099966",0.0176966013112655,NA
"ENSMUSG00000024066",0.0177080444421959,"Xdh"
"ENSMUSG00000014813",0.0177178133230674,"Stc1"
"ENSMUSG00000040055",0.0177192128644341,"Gjb6"
"ENSMUSG00000027438",0.0177225010339822,"Napb"
"ENSMUSG00000107838",0.0177339449688434,NA
"ENSMUSG00000054893",0.0177672024592553,"Zfp667"
"ENSMUSG00000111817",0.0178213546465747,NA
"ENSMUSG00000067274",0.0178277773040267,"Rplp0"
"ENSMUSG00000030583",0.01783923689994,"Sipa1l3"
"ENSMUSG00000022307",0.0178416601766504,"Oxr1"
"ENSMUSG00000060288",0.017882529738914,"Ppih"
"ENSMUSG00000028786",0.0179003151087486,"Tmem54"
"ENSMUSG00000024246",0.0179062847665725,"Thumpd2"
"ENSMUSG00000087141",0.0179150668921254,"Plcxd2"
"ENSMUSG00000071350",0.0179186257208396,"Setdb2"
"ENSMUSG00000075359",0.0179190520039358,NA
"ENSMUSG00000020841",0.0179330687797513,"Cpd"
"ENSMUSG00000028211",0.01793391758793,"Trp53inp1"
"ENSMUSG00000040447",0.0179401753970558,"Spns2"
"ENSMUSG00000029726",0.0179408428039902,"Mepce"
"ENSMUSG00000038236",0.0179578209188306,"Hoxa7"
"ENSMUSG00000023075",0.0179841776642509,"Akirin1"
"ENSMUSG00000066315",0.0179888664657994,"Gm12918"
"ENSMUSG00000038742",0.0180101891085681,"Angptl6"
"ENSMUSG00000019437",0.0180150697382485,"Tlcd1"
"ENSMUSG00000061689",0.018048355639705,"Dlgap4"
"ENSMUSG00000026304",0.0180592856156647,"Rab17"
"ENSMUSG00000024232",0.0180663904760061,"Bambi"
"ENSMUSG00000041390",0.0180667098014521,"Mdfic"
"ENSMUSG00000019836",0.0180973135853538,NA
"ENSMUSG00000060198",0.0181062937506962,"Gm11353"
"ENSMUSG00000038319",0.0181127237193944,"Kcnh2"
"ENSMUSG00000034460",0.018114412765163,"Six4"
"ENSMUSG00000030527",0.0181221260286212,"Crtc3"
"ENSMUSG00000064302",0.0181233676069083,"Clasp1"
"ENSMUSG00000038807",0.0181685245926466,"Rap1gap2"
"ENSMUSG00000028559",0.0181731317812982,"Osbpl9"
"ENSMUSG00000087635",0.0181735167672575,NA
"ENSMUSG00000052040",0.0181906359187137,"Klf13"
"ENSMUSG00000106334",0.0182031196795359,NA
"ENSMUSG00000097974",0.0182538286215242,NA
"ENSMUSG00000016940",0.0182568851609971,"Kctd2"
"ENSMUSG00000031925",0.0182931333020414,"Maml2"
"ENSMUSG00000029231",0.0182995264250711,"Pdgfra"
"ENSMUSG00000040466",0.0183030508995928,"Blvrb"
"ENSMUSG00000103042",0.0183116748019241,NA
"ENSMUSG00000022848",0.0183326480425472,"Slc49a4"
"ENSMUSG00000038774",0.018333613589869,"Ascc3"
"ENSMUSG00000018761",0.018343273868806,"Mpdu1"
"ENSMUSG00000022833",0.0183582699856103,"Ccdc14"
"ENSMUSG00000099858",0.0183604397608041,"Gm6652"
"ENSMUSG00000037440",0.0183866298560695,"Vnn1"
"ENSMUSG00000056050",0.0183869287714477,"Mia3"
"ENSMUSG00000041623",0.0183921742564309,"D11Wsu47e"
"ENSMUSG00000001089",0.0184018536681521,"Luzp1"
"ENSMUSG00000075254",0.0184067303423939,"Heg1"
"ENSMUSG00000039662",0.0184108841587444,"Icmt"
"ENSMUSG00000020034",0.018440842710474,"Tcp11l2"
"ENSMUSG00000056486",0.0184561537204158,"Chn1"
"ENSMUSG00000041263",0.0184568788246757,"Rusc1"
"ENSMUSG00000036158",0.0184650428663071,"Prickle1"
"ENSMUSG00000062949",0.0184726191512809,"Atp11c"
"ENSMUSG00000020477",0.0184732205283751,"Mrps24"
"ENSMUSG00000070583",0.0184787464271224,"Fv1"
"ENSMUSG00000020098",0.018482819670147,"Pcbd1"
"ENSMUSG00000025157",0.0184846945743294,"Zdhhc16"
"ENSMUSG00000114951",0.0184890322138884,NA
"ENSMUSG00000036299",0.018494175856388,"BC031181"
"ENSMUSG00000064037",0.0185175496988877,"Gpn1"
"ENSMUSG00000084983",0.0185189645640261,NA
"ENSMUSG00000021277",0.0185238840889208,"Traf3"
"ENSMUSG00000020671",0.018542434972654,"Rab10"
"ENSMUSG00000038005",0.0185436705582974,"Hpf1"
"ENSMUSG00000028060",0.0185527031179423,"Khdc4"
"ENSMUSG00000031840",0.0185599139137684,"Rab3a"
"ENSMUSG00000009575",0.0185720770809322,"Cbx5"
"ENSMUSG00000036473",0.0185975542048712,"Tbc1d24"
"ENSMUSG00000097636",0.0186042537528554,NA
"ENSMUSG00000027475",0.0186249211893862,"Kif3b"
"ENSMUSG00000039717",0.0186275465325176,"Ralyl"
"ENSMUSG00000020644",0.0186284413524462,"Id2"
"ENSMUSG00000047613",0.0186339588211285,"A430005L14Rik"
"ENSMUSG00000021811",0.0186340333869885,"Dnajc9"
"ENSMUSG00000026456",0.0186435802384603,"Cyb5r1"
"ENSMUSG00000019210",0.018644793745993,"Atp6v1e1"
"ENSMUSG00000059447",0.0186492278080566,"Hadhb"
"ENSMUSG00000041642",0.0186514633549378,"Kif21b"
"ENSMUSG00000037710",0.0186522469593923,"Cisd1"
"ENSMUSG00000024780",0.0186562052799549,"Cdc37l1"
"ENSMUSG00000035437",0.0186597622307135,"Rabgap1"
"ENSMUSG00000028426",0.0186727235060302,"Rad23b"
"ENSMUSG00000106181",0.0186728977426744,NA
"ENSMUSG00000052406",0.0187048650120929,"Rexo4"
"ENSMUSG00000021265",0.0187102206647199,"Slc25a29"
"ENSMUSG00000063018",0.0187331401795592,NA
"ENSMUSG00000034731",0.0187569581238325,"Dgkh"
"ENSMUSG00000029625",0.0187688849329064,"Cpsf4"
"ENSMUSG00000047221",0.018781635975607,"Fam185a"
"ENSMUSG00000001741",0.0188018695369877,"Il16"
"ENSMUSG00000020541",0.0188402128917707,"Tom1l1"
"ENSMUSG00000032776",0.018843370037096,"Mctp2"
"ENSMUSG00000042425",0.0188464338135456,"Frmpd3"
"ENSMUSG00000002550",0.018852387769548,"Uck1"
"ENSMUSG00000056687",0.0188548241424629,"Gm11696"
"ENSMUSG00000037851",0.0188705749112053,"Iars"
"ENSMUSG00000038398",0.0188807830401325,"Upf3a"
"ENSMUSG00000002477",0.0188935684986227,"Snrpd1"
"ENSMUSG00000097209",0.0189190674995601,"AU022754"
"ENSMUSG00000110424",0.0189391064406349,"Zbed5-ps"
"ENSMUSG00000066438",0.0189436885280726,"Plekhd1"
"ENSMUSG00000114003",0.0189496390362293,"Gm9616"
"ENSMUSG00000018849",0.0189702421885862,"Wwc1"
"ENSMUSG00000024431",0.0189753869247592,"Nr3c1"
"ENSMUSG00000083411",0.0189812292133715,NA
"ENSMUSG00000030850",0.0190083092720046,"Ate1"
"ENSMUSG00000021876",0.0190141029539094,"Rnase4"
"ENSMUSG00000033618",0.0190162595916147,"Map3k13"
"ENSMUSG00000040658",0.0190236746562783,"Dnph1"
"ENSMUSG00000086610",0.0190296702719785,"Gm15408"
"ENSMUSG00000027012",0.0190398401048232,"Dync1i2"
"ENSMUSG00000032724",0.0190402824107612,"Abtb2"
"ENSMUSG00000024807",0.0190570405346653,"Syvn1"
"ENSMUSG00000027329",0.0190690939897584,"Spef1"
"ENSMUSG00000033386",0.0190829123536034,"Frrs1"
"ENSMUSG00000057074",0.0190988510328159,"Ces1g"
"ENSMUSG00000020275",0.0191010234316972,"Rel"
"ENSMUSG00000000916",0.0191016398225888,"Nsun5"
"ENSMUSG00000068877",0.0191090008242474,"Selenbp2"
"ENSMUSG00000030127",0.0191127519513716,"Cops7a"
"ENSMUSG00000038987",0.019123752281178,"Cfap157"
"ENSMUSG00000091996",0.0191262834992155,"Smim35"
"ENSMUSG00000020331",0.0191428141987064,"Hcn2"
"ENSMUSG00000087381",0.0191467026454586,NA
"ENSMUSG00000029470",0.0191496605017442,"P2rx4"
"ENSMUSG00000031668",0.0191584216332674,"Eif2ak3"
"ENSMUSG00000055401",0.0191788288219946,"Fbxo6"
"ENSMUSG00000105504",0.0191997720732685,"Gbp5"
"ENSMUSG00000080950",0.0192109006317223,NA
"ENSMUSG00000019868",0.0192129578116671,"Vta1"
"ENSMUSG00000074227",0.0192147493319837,"Spint2"
"ENSMUSG00000051034",0.0192281964371594,"Zfp11"
"ENSMUSG00000003604",0.0192362594783837,"Aven"
"ENSMUSG00000031631",0.0192373476615385,"Cfap97"
"ENSMUSG00000034757",0.0192523574394609,"Tmub2"
"ENSMUSG00000102432",0.0192667285773975,NA
"ENSMUSG00000058745",0.0192682925566512,NA
"ENSMUSG00000026417",0.0192701247659715,"Pigr"
"ENSMUSG00000021009",0.0192892381914617,"Ptpn21"
"ENSMUSG00000087142",0.019308332102895,NA
"ENSMUSG00000105565",0.0193310536398539,NA
"ENSMUSG00000115938",0.019332230937741,NA
"ENSMUSG00000006215",0.0193424393036908,"Zbtb17"
"ENSMUSG00000032501",0.0193634025601278,"Trib1"
"ENSMUSG00000025925",0.0193672892869857,"Terf1"
"ENSMUSG00000033883",0.0193920684228632,"Zfp267"
"ENSMUSG00000036672",0.0193932458392136,"Cenpt"
"ENSMUSG00000022641",0.0193939620411339,"Bbx"
"ENSMUSG00000044628",0.0193952674990882,"Rnf208"
"ENSMUSG00000057554",0.019398970264034,"Lgals8"
"ENSMUSG00000024793",0.0194095393947888,"Tnfrsf25"
"ENSMUSG00000071303",0.0194115003347213,"Rps8-ps1"
"ENSMUSG00000025558",0.019414953862239,"Dock9"
"ENSMUSG00000044501",0.0194426940486983,"Zfp758"
"ENSMUSG00000045679",0.0194732271504573,"Slc66a3"
"ENSMUSG00000085355",0.0194908613658575,"3010003L21Rik"
"ENSMUSG00000031445",0.0195081583896742,"Proz"
"ENSMUSG00000078735",0.0195238668434133,"Il11ra2"
"ENSMUSG00000039428",0.0195387932364545,"Tmem135"
"ENSMUSG00000039163",0.0195476215716667,"Cmc1"
"ENSMUSG00000075033",0.0195556968766639,"Nxpe3"
"ENSMUSG00000034109",0.0195676918822367,"Golim4"
"ENSMUSG00000022957",0.0195683442291973,"Itsn1"
"ENSMUSG00000024830",0.0195732862671816,"Rps6kb2"
"ENSMUSG00000046010",0.019579820725162,"Zfp830"
"ENSMUSG00000038806",0.0195996316085129,"Sde2"
"ENSMUSG00000022354",0.0196162556413086,"Ndufb9"
"ENSMUSG00000053291",0.0196497186204706,"Rab4b"
"ENSMUSG00000032946",0.0196659328652109,"Rasgrp2"
"ENSMUSG00000002257",0.0196995780351718,"Def6"
"ENSMUSG00000082762",0.0197000066957574,"Gm12366"
"ENSMUSG00000028358",0.0197021264298518,"Zfp618"
"ENSMUSG00000081405",0.0197146552216783,"Gm13142"
"ENSMUSG00000040722",0.0197346344463378,"Scamp5"
"ENSMUSG00000001289",0.0197366040401314,"Pfdn5"
"ENSMUSG00000040537",0.0197606535264114,"Adam22"
"ENSMUSG00000048756",0.0197646583606002,"Foxo3"
"ENSMUSG00000026966",0.0197839608936534,"Ssna1"
"ENSMUSG00000024151",0.0197863784335384,"Msh2"
"ENSMUSG00000032561",0.0198000255344818,"Acpp"
"ENSMUSG00000035726",0.0198282052393036,"Supt16"
"ENSMUSG00000042772",0.0198392296374787,"Smg7"
"ENSMUSG00000091831",0.0198420526953914,NA
"ENSMUSG00000026589",0.0198479227027247,"Sec16b"
"ENSMUSG00000084067",0.0198553585124614,NA
"ENSMUSG00000038717",0.019873871110949,"Atp5l"
"ENSMUSG00000051243",0.0198809533862817,"Islr2"
"ENSMUSG00000057069",0.0198937149704155,"Ero1b"
"ENSMUSG00000028755",0.0198941351858582,"Cda"
"ENSMUSG00000040570",0.019903549100395,"Rundc3b"
"ENSMUSG00000111686",0.0199320198202578,NA
"ENSMUSG00000030029",0.0199376524053084,"Lrig1"
"ENSMUSG00000049550",0.0199381613869064,"Clip1"
"ENSMUSG00000024276",0.0199420499387974,"Zfp397"
"ENSMUSG00000023830",0.0199747610051159,"Igf2r"
"ENSMUSG00000044367",0.0199810099963088,"Slc16a13"
"ENSMUSG00000054517",0.0199819788246222,"Trim65"
"ENSMUSG00000032602",0.0199847592609807,"Slc25a20"
"ENSMUSG00000113637",0.0199856665131939,"Gm7049"
"ENSMUSG00000028389",0.0199858904389691,"Zfp37"
"ENSMUSG00000030894",0.0200048404072898,"Tpp1"
"ENSMUSG00000073002",0.02001484729707,"Vamp5"
"ENSMUSG00000045287",0.0200156900872837,"Rtn4rl1"
"ENSMUSG00000022031",0.0200256078809553,"Elp3"
"ENSMUSG00000057036",0.0200472902768565,"Gm7536"
"ENSMUSG00000049307",0.0200478702393841,"Fut4"
"ENSMUSG00000029649",0.0200827352691668,"Pomp"
"ENSMUSG00000038793",0.0200845483179036,"Lefty1"
"ENSMUSG00000032340",0.0200907433092866,"Neo1"
"ENSMUSG00000047766",0.0200935941607357,"Lrrc49"
"ENSMUSG00000025138",0.0201024733028223,"Sirt7"
"ENSMUSG00000029600",0.0201040121563134,"Rita1"
"ENSMUSG00000082154",0.0201284730548369,NA
"ENSMUSG00000036885",0.0201323591320447,"Arhgef26"
"ENSMUSG00000022941",0.0201706318285196,"Ripply3"
"ENSMUSG00000020056",0.0201993293632441,"Washc3"
"ENSMUSG00000024044",0.0202181341742451,"Epb41l3"
"ENSMUSG00000018800",0.0202234525450659,"Abca5"
"ENSMUSG00000024308",0.0202293078322852,"Tapbp"
"ENSMUSG00000025872",0.020243329093877,"Thoc3"
"ENSMUSG00000040669",0.0202509263443796,"Phc1"
"ENSMUSG00000026395",0.0202540454419007,"Ptprc"
"ENSMUSG00000037110",0.0203082800613979,"Ralgapa2"
"ENSMUSG00000041837",0.0203168902153545,"Pdcd7"
"ENSMUSG00000010045",0.0203284173559824,"Tmem115"
"ENSMUSG00000053835",0.0203364275594613,"H2-T24"
"ENSMUSG00000024006",0.0203448534445152,"Stk38"
"ENSMUSG00000037104",0.0203521225876246,"Socs5"
"ENSMUSG00000057130",0.0203656930181286,"Txnl4a"
"ENSMUSG00000083899",0.0203772236839016,NA
"ENSMUSG00000019889",0.0203797592634766,"Ptprk"
"ENSMUSG00000015290",0.0203895958158346,"Ubl4a"
"ENSMUSG00000021559",0.0203990408462941,"Dapk1"
"ENSMUSG00000031295",0.0204094942580983,"Phka2"
"ENSMUSG00000042644",0.0204244873366109,"Itpr3"
"ENSMUSG00000079499",0.0204273471080017,"6530402F18Rik"
"ENSMUSG00000091905",0.0204328721444321,NA
"ENSMUSG00000072653",0.0204354663779018,NA
"ENSMUSG00000045942",0.0204694074834417,"BC049762"
"ENSMUSG00000025757",0.0204696406260367,"Hspa4l"
"ENSMUSG00000021621",0.0204828446611181,"Zcchc9"
"ENSMUSG00000020770",0.0204870896041807,"Unk"
"ENSMUSG00000023882",0.0205020863509054,"Zfp54"
"ENSMUSG00000106290",0.0205024031603899,NA
"ENSMUSG00000029406",0.0205055253574295,"Pitpnm2"
"ENSMUSG00000031147",0.020517217429112,"Magix"
"ENSMUSG00000040174",0.0205246222296637,"Alkbh3"
"ENSMUSG00000063564",0.0205276713075928,"Col23a1"
"ENSMUSG00000032743",0.0205304967143297,"Katnip"
"ENSMUSG00000036707",0.0205305586966759,"Cab39"
"ENSMUSG00000032458",0.0205404500921972,"Copb2"
"ENSMUSG00000041936",0.0205445820592518,"Agrn"
"ENSMUSG00000020561",0.0205705937767205,"Polr1f"
"ENSMUSG00000026181",0.0205757506418198,"Ppm1f"
"ENSMUSG00000057322",0.0205911757104916,"Rpl38"
"ENSMUSG00000026235",0.0206100702894451,"Epha4"
"ENSMUSG00000051396",0.020638200349006,"Hspa14"
"ENSMUSG00000030796",0.0206437821787032,"Tead2"
"ENSMUSG00000048232",0.0206606423056858,"Fbxo10"
"ENSMUSG00000069910",0.0206799936816097,"Spdl1"
"ENSMUSG00000097286",0.0206989303181274,"Gm26684"
"ENSMUSG00000028028",0.0207171815443634,"Alpk1"
"ENSMUSG00000030752",0.0207477145798729,"Kdm8"
"ENSMUSG00000099342",0.0207517428954121,"Gm18180"
"ENSMUSG00000047786",0.0207565696564034,"Lix1"
"ENSMUSG00000038909",0.0207582815617634,"Kat7"
"ENSMUSG00000054939",0.0207900393114062,"Zfp174"
"ENSMUSG00000048007",0.0207960853145625,"Timm8a1"
"ENSMUSG00000070780",0.0208276403633128,"Rbm47"
"ENSMUSG00000015452",0.0208359116977343,"Ager"
"ENSMUSG00000074238",0.0208506712596636,"Ap1ar"
"ENSMUSG00000030798",0.0208688271043514,"Cd37"
"ENSMUSG00000030659",0.0208774773313444,"Nucb2"
"ENSMUSG00000096375",0.0208812944190621,NA
"ENSMUSG00000038252",0.0209144749706712,"Ncapd2"
"ENSMUSG00000070939",0.0209244368049198,"Tgfbrap1"
"ENSMUSG00000061104",0.0209360683289042,"Sap18b"
"ENSMUSG00000085457",0.0209372694865675,"1110046J04Rik"
"ENSMUSG00000086607",0.0209673967225105,"4930511M06Rik"
"ENSMUSG00000046556",0.0209751961409711,"Zfp319"
"ENSMUSG00000069678",0.0209752080948305,"Pcgf1"
"ENSMUSG00000096606",0.0209785208146434,"Tpbgl"
"ENSMUSG00000056643",0.0209826995614968,"Chst13"
"ENSMUSG00000024844",0.0210106436230299,"Banf1"
"ENSMUSG00000047115",0.0210130666756487,"Fam221a"
"ENSMUSG00000008763",0.0210185697035571,"Man1a2"
"ENSMUSG00000024910",0.0210242291355142,"Ctsw"
"ENSMUSG00000079442",0.0210391268387474,"St6galnac4"
"ENSMUSG00000058267",0.0210461017206819,"Mrps14"
"ENSMUSG00000091655",0.0210490759406488,NA
"ENSMUSG00000027514",0.0210578870971344,"Zbp1"
"ENSMUSG00000015053",0.0210830286938775,"Gata2"
"ENSMUSG00000029436",0.0210976711134581,"Mmp17"
"ENSMUSG00000024968",0.0211094691838818,"Rcor2"
"ENSMUSG00000089634",0.0211164445104491,"Nat8b-ps"
"ENSMUSG00000037373",0.0211315362520328,"Ctbp1"
"ENSMUSG00000064317",0.0211326878125431,NA
"ENSMUSG00000116936",0.0211432687578109,NA
"ENSMUSG00000022797",0.0211729676671429,"Tfrc"
"ENSMUSG00000031959",0.0211888274915667,"Wdr59"
"ENSMUSG00000050074",0.0212361876690006,"Spink8"
"ENSMUSG00000025934",0.0212398090708164,"Gsta3"
"ENSMUSG00000048486",0.0212478684765995,"Fitm2"
"ENSMUSG00000025102",0.0212492362192703,"3110040N11Rik"
"ENSMUSG00000018102",0.0212616878058183,"H2bc4"
"ENSMUSG00000090523",0.0212740739676068,"Gypc"
"ENSMUSG00000087595",0.0213070705688433,NA
"ENSMUSG00000033186",0.0213079771165962,"Mzt1"
"ENSMUSG00000066629",0.0213106254710228,NA
"ENSMUSG00000004568",0.0213239449731424,"Arhgef18"
"ENSMUSG00000026977",0.0213366730147893,"Marchf7"
"ENSMUSG00000073639",0.0213434045585049,"Rab18"
"ENSMUSG00000020647",0.0213478281456128,"Ncoa1"
"ENSMUSG00000006464",0.0213673390142013,"Bbs1"
"ENSMUSG00000103749",0.0213777895999667,"Pcdhgb5"
"ENSMUSG00000091811",0.0213780535776125,"Inafm1"
"ENSMUSG00000002320",0.0213838380575296,"Tm9sf1"
"ENSMUSG00000031879",0.0214036395573684,"Ciao2b"
"ENSMUSG00000006494",0.0214445748884991,"Pdk1"
"ENSMUSG00000024425",0.0214585761901391,"Ndfip1"
"ENSMUSG00000062963",0.0214694862127883,"Ufc1"
