"","ensembl.id","Symbol","moduleColor","GS.AUC.urea","GS.creat.D2","GS.mIGF1","GS.hIGF1","p.GS.AUC.urea","p.GS.creat.D2","p.GS.mIGF1","p.GS.hIGF1","MM.violet","p.MM.violet","MM.black","p.MM.black","MM.darkgrey","p.MM.darkgrey","MM.darkmagenta","p.MM.darkmagenta","MM.turquoise","p.MM.turquoise","MM.brown","p.MM.brown","MM.darkred","p.MM.darkred","MM.darkorange","p.MM.darkorange","MM.saddlebrown","p.MM.saddlebrown","MM.paleturquoise","p.MM.paleturquoise","MM.skyblue3","p.MM.skyblue3","MM.steelblue","p.MM.steelblue","MM.pink","p.MM.pink","MM.orangered4","p.MM.orangered4"
"ENSMUSG00000072849","ENSMUSG00000072849","Serpina1e","darkgrey",-0.619292921336349,-0.6639279435841,-0.185421052691777,-0.298439898930174,0.0061306720348536,0.00265873305877557,0.461351492388393,0.229004535396716,-0.301904834687093,0.223382953469751,0.210998357568308,0.400658168460267,0.599164873479639,0.00859554020894319,-0.656713367549951,0.00307030965741385,0.247797257489422,0.321482563890684,-0.15182742439631,0.547567985451391,0.348299256153498,0.156648413202533,-0.404732606441249,0.0957058760394461,0.0964707730246603,0.703353485053021,-0.0997555324370331,0.693708229162141,0.247315081394768,0.322455677660027,-0.358400583995204,0.144169574956968,0.119723298057891,0.636080979776432,0.432906582252031,0.0727384673497291
"ENSMUSG00000019774","ENSMUSG00000019774","Mtrf1l","darkgrey",-0.546437737752264,-0.55701136227929,-0.0704933616037134,-0.294125993244676,0.0189574370870327,0.0163384542579543,0.781048953560742,0.236129377237845,-0.233613992607032,0.350827500532072,0.203049023787432,0.419039359198862,0.687393393897731,0.00162055470449377,-0.663834842860042,0.0026637388891571,0.0765531149115388,0.76271793217291,0.0513944863067841,0.839504468640219,0.270276948053591,0.278048039963431,-0.576629010084841,0.0122425588934424,0.362377145654362,0.139451296663286,-0.182278779160257,0.469112673631885,0.473377569404785,0.0472270310371492,-0.135806817444415,0.591050026563893,-0.130802920209068,0.604918022468131,0.518341473817505,0.0275413374499878
"ENSMUSG00000005413","ENSMUSG00000005413","Hmox1","darkgrey",-0.499733510129992,-0.491766802488445,-0.130693709680539,-0.294055078537222,0.0347115865481086,0.0381876950005895,0.605222155463081,0.236247667930241,-0.231435388492835,0.355466419685941,0.129042810240137,0.609827142353713,0.477391939299265,0.0451277403325133,-0.541477602282769,0.0202947459984831,0.208392450083321,0.406634993648777,-0.116547541088385,0.645124506807829,0.36128115985187,0.140740854797697,-0.34125065936175,0.165781357544446,0.0698802443450012,0.782909965373397,-0.119882053568298,0.635630164923314,0.280818612304199,0.258990242702492,-0.33583136857975,0.173044221827313,0.136639418504288,0.588755401121238,0.316272141705365,0.201029251197697
"ENSMUSG00000046879","ENSMUSG00000046879","Irgm1","darkgrey",-0.709041243306177,-0.671800195292712,-0.330367596287765,-0.293534086918449,0.000985438787991126,0.00226254753870589,0.180580913062256,0.237117877704972,-0.4020269105411,0.0981583978349926,0.265609565873308,0.286753735642422,0.728345175800602,0.000608893704639378,-0.735076319867419,0.000509998617095506,0.342998691618468,0.163483496472098,-0.306602432117775,0.215904930547776,0.426068011863079,0.0778946483657252,-0.380790058096687,0.118999968736686,0.0484025212850573,0.848742812802716,-0.0876096954503887,0.729585028082276,0.210427522166444,0.401963325074745,-0.573434471606549,0.0128467389512606,0.220986254792584,0.378196615297315,0.547493768889052,0.0186819006023163
"ENSMUSG00000022248","ENSMUSG00000022248","Rad1","darkgrey",-0.579020461987749,-0.616036006675849,-0.386601548519616,-0.29265403453,0.0118052865956895,0.00648498297843912,0.113010792141749,0.238592461255039,-0.0973127112238228,0.700877068405483,-0.010940625457547,0.965633170915889,0.676219681523803,0.00206237309328953,-0.66581899666826,0.00255871776152512,-0.0232106976931233,0.927161490578233,0.121532547277442,0.630950534293488,0.447867694013373,0.0623420513569971,-0.632048501124003,0.00489079551700318,0.27111187561223,0.276508035376533,-0.052670428527711,0.835570712313386,0.643564389760816,0.0039546392550094,-0.484248531285686,0.0417070953989932,-0.0447539099965668,0.860034016308051,0.654498380911359,0.00320667251872694
"ENSMUSG00000026070","ENSMUSG00000026070","Il18r1","darkgrey",-0.324991627653091,-0.183361623715168,0.415562086889097,-0.29207024571117,0.188208127134384,0.466430795602449,0.0863316935196939,0.239573850724775,-0.182773821821316,0.467885648744221,0.179827888070058,0.475211097166927,0.294568366903319,0.23539232052131,-0.275388855393724,0.268701720624829,0.0649881909503817,0.7977983715285,0.00780526621850561,0.975478638154939,0.144753422588929,0.566590906863998,-0.258181808537488,0.300946368008536,0.165645244004296,0.511256736189141,-0.0877490924255028,0.729170063873804,0.243235691997523,0.330757819443242,-0.0443654568583961,0.861237707145291,-0.150136151257277,0.552089979882032,0.178851027626692,0.477652658546289
"ENSMUSG00000028345","ENSMUSG00000028345","Tex10","darkgrey",-0.594548456177828,-0.557273499716247,-0.193046483152864,-0.290921916946574,0.00926027574687129,0.016277374875923,0.4427899232434,0.241511755041613,-0.310010319873293,0.210583022825009,0.238905648208795,0.339705171432027,0.621521213072654,0.00589743383124504,-0.57943128838469,0.0117314400473323,0.260919753464896,0.295666540160831,-0.220453040073792,0.379377719809639,0.352688599816154,0.151138396302543,-0.303030492296012,0.221576012137723,0.0897540766606154,0.723209494651365,0.303025391504995,0.221584178709858,0.200956453244088,0.423951221089044,-0.49316825189073,0.0375576392735497,0.139972384443765,0.579607277620593,0.556087684331064,0.0165551233830129
"ENSMUSG00000030772","ENSMUSG00000030772","Dkk3","darkgrey",-0.521487791560688,-0.208507929127998,-0.0843850778101894,-0.288269615587151,0.0264524156899888,0.406369122750134,0.739203983932089,0.246025693525884,-0.243992409416241,0.329208447087225,0.218718834682232,0.383233224884254,0.436371377201628,0.0702243688580297,-0.45247093408812,0.0593783815115814,0.0438882017118059,0.862716964899187,-0.0130129687511345,0.95912823378071,-0.055983186907409,0.825374943939637,-0.357001265319724,0.145855838831319,0.297488457069861,0.230563925430236,-0.236816059381959,0.344072559612702,0.166732253889257,0.508449311747921,-0.322984423397479,0.191110009178549,-0.222509579388387,0.374833636636459,0.472260981856941,0.0478238948531794
"ENSMUSG00000068882","ENSMUSG00000068882","Ssb","darkgrey",-0.503827526388285,-0.449827541350469,-0.0595684725269881,-0.284434488794155,0.0330227967146841,0.0610670691834481,0.814370340904731,0.252646420397253,-0.470420896476416,0.0488199473883688,0.466329962500084,0.0510905912844316,0.686405903174609,0.0016561314149871,-0.619351579623068,0.00612443779627604,0.250895724143994,0.315270701322829,-0.195763632240074,0.43627049375474,-0.0116373315637699,0.963446010487359,-0.413296838868905,0.0882347876689135,0.372285025614834,0.128164370621054,-0.137709891349904,0.585810677875618,0.161972653223839,0.520795657002525,-0.0987530877271208,0.696647106023757,-0.140274631888908,0.578780674473685,0.291967084232888,0.239747538930077
"ENSMUSG00000025337","ENSMUSG00000025337","Sbds","darkgrey",-0.550836881352663,-0.536989174468125,-0.331991457842395,-0.283787542518483,0.0178303860172131,0.0215677781956799,0.178318399057125,0.25377420089901,-0.156728897687353,0.534557095628458,0.0133541320405739,0.95805757166513,0.583531900434151,0.0110143870964575,-0.646824066995311,0.00371811100367688,0.198264230322622,0.430315077087631,-0.158941263617558,0.528730946004543,0.468243336905671,0.0500188716726244,-0.365747717441461,0.135536888981141,-0.0571735133959422,0.821717841112233,-0.238731572116715,0.34006777235333,0.259225076651209,0.298927897936428,-0.552818380409209,0.0173403381990286,0.307065169708641,0.215177221882869,0.527677381252866,0.0244082770250829
"ENSMUSG00000032786","ENSMUSG00000032786","Alas1","darkgrey",-0.343969373702488,-0.577479942553463,0.076650589776817,-0.281286818343954,0.16221689381958,0.0120855106927493,0.76242401829537,0.258163245660147,-0.203100730283763,0.418918373248336,0.159539726379479,0.527159957620709,0.508929678775593,0.0310076964387272,-0.465936707931232,0.0513129921115914,0.076644449774644,0.762442531200445,0.0474012127675614,0.851838824233092,0.413026228617322,0.0884641571026506,-0.496669151982753,0.0360185555217603,0.201133177647395,0.423535227589827,0.0520396890589786,0.837514836936671,0.497274210109941,0.0357575448897363,0.0230382423211073,0.927701335770627,-0.102810787527711,0.684776878760444,0.27573845243904,0.268069741223585
"ENSMUSG00000104340","ENSMUSG00000104340",NA,"darkgrey",-0.509843577349111,-0.357487517020416,-0.045602535059012,-0.279770013662839,0.0306570280094345,0.145268339605129,0.857405425712929,0.260848394339527,-0.0904768794822574,0.721064383496525,0.0243128433931986,0.923712116191174,0.483925169226689,0.0418638279326629,-0.490474613202809,0.0387757790000557,0.0212427025987568,0.933323741714234,0.069781013968522,0.783211267829205,0.307872652613194,0.213911184587392,-0.420600929511362,0.0822059248418453,0.185606765987004,0.460894831443485,0.190788739399178,0.448245060389686,0.418369196513658,0.0840150674688922,-0.421389568870096,0.0815734829601914,-0.0279611694321317,0.912303541540124,0.582861060859878,0.0111292293011689
"ENSMUSG00000018648","ENSMUSG00000018648","Dusp14","darkgrey",-0.597026677163949,-0.569867503121,-0.330242058981514,-0.279447628862279,0.00889847841420702,0.0135491933412193,0.180756620341561,0.261421338685642,-0.00475457618025362,0.985061482448968,-0.0537923141222367,0.832114977722457,0.606708584183444,0.00759238327417543,-0.620213479825717,0.00603342572188367,-0.228467872960545,0.361841021900283,0.325601479290695,0.18733228704945,0.0270448169127671,0.915167591234217,-0.720896427369045,0.000736548783974528,0.504756542696835,0.0326485575650287,-0.218401267720033,0.383941581122914,0.567073917686625,0.0141204104559166,-0.228277302130903,0.362252587784396,-0.299496607230025,0.227280574809531,0.604879256624134,0.00782648787250731
"ENSMUSG00000043015","ENSMUSG00000043015","Nemp2","darkgrey",-0.686439396318614,-0.347622163534537,-0.371803196583735,-0.279330879083393,0.00165491424199363,0.157510445944999,0.128697941486231,0.261629020608153,-0.0954603186389609,0.706329316073024,-0.00752590145384587,0.976356066308928,0.644866009174873,0.00385875871443568,-0.685218982649304,0.001699746266774,-0.0227523738760739,0.928596269330797,0.0960946699684543,0.704460647927801,0.17153352386107,0.496137018211502,-0.535517579833023,0.0219985180221414,0.301031117442978,0.224792009294947,-0.441755836042825,0.0664457516988399,0.408982536512207,0.0919434167017924,-0.567503398621063,0.0140313687036243,-0.0358875021797184,0.887576323242788,0.781766149471173,0.000127029982660585
"ENSMUSG00000073856","ENSMUSG00000073856","Iqck","darkgrey",-0.190589417670191,-0.291621088805883,0.0143873850220922,-0.279080006878089,0.448728307913995,0.240330660152859,0.954815369896517,0.262075636041473,-0.19960346538145,0.427143170493975,0.150842995002956,0.550198064402979,0.287896346399055,0.24666521225183,-0.346730946211441,0.158650024269371,0.0770473321525623,0.761228048959774,0.012681774456815,0.960167674195895,0.151966787336873,0.547196106563813,-0.299637285487378,0.227051697571404,0.184159425177207,0.464459809942446,-0.371602508607105,0.128920639258354,0.225465149382147,0.368356559254254,0.0183470064668962,0.942397308289096,-0.128247132790519,0.612051593991937,0.100179045724277,0.692467856895474
"ENSMUSG00000006529","ENSMUSG00000006529","Itih1","darkgrey",-0.163985552532038,-0.359105185557591,0.179905025899131,-0.278304696645975,0.515557271889258,0.143325611510639,0.475018562909399,0.263458884991443,-0.0892590874756423,0.724679642235969,0.085201958392606,0.736763700911091,0.265081846806878,0.287748377875801,-0.292378169796495,0.239055889436639,0.0393414283938799,0.876830878157907,0.0134981574230472,0.957605601699576,0.0200462661764523,0.937071848270932,-0.247914531418195,0.321246146994742,0.133847864418492,0.596463423718295,-0.103389978487219,0.683088179099903,0.100632078267318,0.691141853236723,0.19737278571176,0.432433235584703,-0.00973992372926521,0.969403057677724,-0.0517709460892918,0.838343454667821
"ENSMUSG00000044337","ENSMUSG00000044337","Ackr3","darkgrey",-0.84561920490947,-0.681572497202041,-0.343666051982173,-0.274639977544568,9.87698571578397e-06,0.00183972887037524,0.162611965750245,0.270058598755267,-0.112725804781412,0.656070625777704,0.0436995713305942,0.863301747021079,0.802503530942094,6.13204344771439e-05,-0.828025000425453,2.20869970733464e-05,-0.139186918222049,0.581757748175698,0.254626524907184,0.307886320986575,0.145949915652486,0.563353385652023,-0.841625593158246,1.19562567184187e-05,0.534615855057426,0.0222657687812067,-0.269793295236259,0.27894253140492,0.651702666504967,0.00338583997280019,-0.424975243438313,0.0787428123070554,-0.290145418126148,0.242827789698287,0.835745117043444,1.56948649858528e-05
"ENSMUSG00000024131","ENSMUSG00000024131","Slc3a1","darkgrey",-0.623737090254851,-0.438721054839817,-0.165093023914974,-0.270020280037491,0.00567268831210465,0.0685563894725542,0.512685749971757,0.278522514796611,-0.348745273261644,0.156082338106538,0.322772841370885,0.191417620999042,0.599599449579683,0.0085349973976206,-0.584348062003153,0.0108759479181271,0.304882289497264,0.218624063092529,-0.306186613572425,0.216560215989673,0.0171292391385399,0.946215219851303,-0.188542990145521,0.453705191507542,0.11785529958197,0.641394603986996,0.16714423232186,0.507387204075261,-0.130868429262482,0.604735620434916,-0.405397825029197,0.0951097418016481,0.154926932959619,0.53932396723819,0.544726975709435,0.0194105890582469
"ENSMUSG00000004535","ENSMUSG00000004535","Tax1bp1","darkgrey",-0.630322267314126,-0.488765815293199,-0.179428676149901,-0.268855405816558,0.00504550147802705,0.0395640856098947,0.476208138281687,0.280682137584261,-0.416909477464125,0.0852139962624643,0.40029732554356,0.0997496728859465,0.687533526782752,0.00161555775461752,-0.641749188320701,0.00409159510576964,0.259482575100598,0.298430958958598,-0.255346597654257,0.306473076746336,-0.0673078613867151,0.790730112974423,-0.33611827012764,0.172654431326391,0.279208768519845,0.261846348699032,-0.0410784955863375,0.871434340745899,-0.0131865962111947,0.958583335708928,-0.253709352059897,0.309692026607144,-0.011652564133828,0.963398193797534,0.443501198866722,0.0652539583161653
"ENSMUSG00000042834","ENSMUSG00000042834","Nrep","darkgrey",-0.421727921113723,-0.546585462024976,-0.472520456278582,-0.259799038758226,0.0813032388652176,0.0189187018655865,0.04768468765606,0.297820907032453,-0.154767974484512,0.539745392300657,0.0262355543982018,0.917697760421126,0.475131992332528,0.0463006481388058,-0.505732403519942,0.0322589823131002,0.0707043352821966,0.780408840467504,0.0302787100927861,0.905064757231924,0.401381707170726,0.0987498523825102,-0.427280696822582,0.0769612846487078,0.155556567614791,0.537656165688847,-0.156937924991867,0.534005385322995,0.450976092109095,0.0603289864973654,-0.331397677889954,0.179143489418562,0.0305889799831135,0.904096164647414,0.375718905722089,0.124406608398215
"ENSMUSG00000095388","ENSMUSG00000095388","Hsd3b8","darkgrey",-0.790793758392569,-0.672826397788828,-0.437766580092587,-0.257786034327747,9.34290933070378e-05,0.00221469651502299,0.0692303682281025,0.301714233105865,-0.0584193786005594,0.817893847411297,-0.0325438352991286,0.897996562369835,0.736103228217974,0.000496168200924298,-0.780466330047334,0.000132620625819164,-0.110827875050247,0.661531673287816,0.199537876130174,0.427298228108654,0.183644375020414,0.465731773510446,-0.730290909875935,0.000578786721586296,0.387664868702992,0.111938599452006,-0.240518559032331,0.336356124807959,0.532940560035712,0.0227690370919102,-0.492258487480736,0.0379657304499191,-0.132289099695981,0.600785429434322,0.832016906236515,1.8549542381512e-05
"ENSMUSG00000037017","ENSMUSG00000037017","Zscan21","darkgrey",-0.810628741795626,-0.552034739547602,-0.307110990935308,-0.255688529242667,4.50357927486103e-05,0.017532853044682,0.215105249560603,0.305803348585591,-0.343990313119129,0.162189644682762,0.287548939715361,0.247261364336259,0.672183690213248,0.00224456671166174,-0.69265592071373,0.00144145828337314,0.233252864422385,0.351594048100592,-0.204397862791976,0.415889341282853,0.131418909246643,0.603203756318414,-0.376936896939526,0.123092561724852,0.202365351436119,0.420640799830189,-0.149661609716948,0.553361737849508,0.121087854685367,0.632210062668299,-0.543414640788443,0.0197639496195542,0.0454514057213862,0.857873440615824,0.642796980240971,0.00401207515313379
"ENSMUSG00000080840","ENSMUSG00000080840","Gm11349","darkgrey",-0.5948759941992,-0.815527346658584,-0.329104659705015,-0.252617486016715,0.00921179142276517,3.71248085054648e-05,0.18235379293161,0.311849875048344,-0.168592912390354,0.503660782371046,0.0864281895886818,0.7331050576345,0.633115921171425,0.00479708161955525,-0.626349006932182,0.00541675850912861,0.00679759920473349,0.978643635216296,0.112523509064318,0.656651922051128,0.280989367024865,0.258688445283565,-0.59901222792023,0.00861688783744741,0.34733972678153,0.157870983609046,0.0743714308824069,0.769304331332465,0.502899639578808,0.033399875945456,-0.243252115229469,0.330724147894571,-0.120623719939322,0.63352568626951,0.486490787573582,0.0406325670090339
"ENSMUSG00000022052","ENSMUSG00000022052","Ppp2r2a","darkgrey",-0.364180888065392,-0.457087653148563,-0.062153519146943,-0.252615358154365,0.137346882159694,0.056513196278046,0.806456198209086,0.311854089040219,-0.380928139091861,0.118855116721897,0.357989168854137,0.144663949137074,0.572769732648884,0.0129753970223624,-0.511839068641598,0.0299020171995081,0.159691061907987,0.526763036767687,-0.0880147034436396,0.728379577395693,0.0305166336619846,0.904322002068493,-0.42784969059159,0.0765261935865986,0.365837266310519,0.135433947264287,-0.246872585217264,0.323350234647696,0.264313905624378,0.289199536238729,0.0823079803071717,0.745419576785408,-0.169795840727253,0.500576450312836,0.0944338834088356,0.709356366264791
"ENSMUSG00000106535","ENSMUSG00000106535",NA,"darkgrey",-0.421819447532161,-0.524120075938717,-0.296254399617117,-0.251132808982719,0.0812302488686663,0.0255674105212397,0.232596636831311,0.314798341410829,-0.0171945848060028,0.946010320835979,-0.0367476406257988,0.88489854634765,0.465964520726322,0.0512972389200631,-0.504368803108551,0.0328043520039574,-0.0694264664000099,0.784288053236825,0.161686938922812,0.521541201657067,0.195349274359564,0.437261448448077,-0.476866939579483,0.0453981779542149,0.242950467435414,0.331342917139907,-0.123623421911366,0.625041438784421,0.376098905138807,0.123995586235598,-0.261382948931453,0.29477889019095,-0.0778420652545869,0.758833897980589,0.517989105938562,0.0276654269509804
"ENSMUSG00000090817","ENSMUSG00000090817","Hsd3b9","darkgrey",-0.740434596000285,-0.629817035496593,-0.355321932585071,-0.242961361379043,0.000441240769496772,0.00509152638258112,0.147897455453911,0.331320558674337,-0.00463671898742272,0.985431743182106,-0.0500069312161515,0.843786438766069,0.707578893136577,0.00102048967419239,-0.739579798727778,0.000451656119125873,-0.221287336687485,0.377530603742874,0.328106492029587,0.183763207755291,0.0769997786673036,0.761371370572269,-0.803970048252808,5.8058205969528e-05,0.512417022316257,0.0296860573808025,-0.262405660524865,0.292824719472229,0.612022062059271,0.00694427918763132,-0.34851029472636,0.15638039291326,-0.288047690205318,0.246405789731085,0.795725205920879,7.85012893641148e-05
"ENSMUSG00000104213","ENSMUSG00000104213","Ighd","darkgrey",-0.271669326429255,-0.354944360147473,-0.0854354162852716,-0.23694866751121,0.275482757675424,0.1483591801166,0.73606672662147,0.343794442341132,-0.220485730575531,0.379305249411648,0.12511322673552,0.620844255134726,0.405721881375942,0.0948203131568442,-0.429311978326283,0.0754163291926458,0.136305784422092,0.589674441574736,-0.0316211337580123,0.900874947670565,0.354086636975306,0.14941175858093,-0.342719619085784,0.163848887760465,0.118130340327742,0.640611185953343,-0.449272731297645,0.0614260078021496,0.374342312488616,0.125903611022803,-0.165691579893033,0.511136915422037,0.0156744659499399,0.950777641330003,0.168704199292274,0.503375061000205
